P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
46525,chartreuse spring medium sky floral,Manufacturer#4,Brand#42,ECONOMY PLATED BRASS,42,LG PKG,1471.52,ding t
46526,gainsboro forest rose sienna powder,Manufacturer#4,Brand#44,ECONOMY POLISHED COPPER,10,MED CASE,1472.52,e always qu
46527,green cornsilk midnight grey metallic,Manufacturer#1,Brand#14,SMALL ANODIZED STEEL,22,WRAP PKG,1473.52,nding deposits dazzl
46528,dodger rosy blush brown pale,Manufacturer#2,Brand#24,MEDIUM BRUSHED TIN,21,WRAP CASE,1474.52,gle a
46529,smoke chocolate black pale goldenrod,Manufacturer#4,Brand#45,STANDARD BURNISHED STEEL,39,JUMBO CASE,1475.52,uffily even excus
46530,gainsboro sky dim black lawn,Manufacturer#2,Brand#25,ECONOMY PLATED BRASS,12,SM BOX,1476.53,accordin
46531,burnished rosy bisque navajo papaya,Manufacturer#2,Brand#21,ECONOMY ANODIZED COPPER,29,JUMBO BAG,1477.53," package"
46532,rose snow misty cream cornsilk,Manufacturer#4,Brand#44,SMALL BURNISHED STEEL,10,SM PACK,1478.53,eep f
46533,pale tan spring pink snow,Manufacturer#2,Brand#23,LARGE PLATED STEEL,40,LG BOX,1479.53," deposits are furious"
46534,snow peach tan grey goldenrod,Manufacturer#1,Brand#14,LARGE BURNISHED NICKEL,3,JUMBO PKG,1480.53," ironic, regul"
46535,honeydew burlywood thistle salmon sandy,Manufacturer#1,Brand#15,MEDIUM ANODIZED STEEL,38,LG CASE,1481.53,ayers around the ca
46536,dark magenta indian lavender blush,Manufacturer#2,Brand#24,PROMO ANODIZED NICKEL,49,LG PACK,1482.53,ly un
46537,frosted violet indian green smoke,Manufacturer#2,Brand#21,STANDARD ANODIZED NICKEL,21,LG JAR,1483.53,lly regula
46538,wheat khaki powder bisque olive,Manufacturer#1,Brand#11,LARGE BURNISHED NICKEL,35,WRAP JAR,1484.53,usy deposits sleep 
46539,chartreuse forest cornsilk black blue,Manufacturer#1,Brand#15,PROMO POLISHED BRASS,35,JUMBO BAG,1485.53," furi"
46540,deep violet floral grey drab,Manufacturer#1,Brand#11,SMALL BURNISHED BRASS,21,JUMBO CAN,1486.54,players affix carefull
46541,forest lace dim lavender tan,Manufacturer#5,Brand#52,SMALL ANODIZED STEEL,7,JUMBO PACK,1487.54," haggle. quick"
46542,navajo olive orange rose tan,Manufacturer#1,Brand#11,STANDARD ANODIZED COPPER,26,MED CASE,1488.54,lites. even requests 
46543,maroon purple thistle firebrick magenta,Manufacturer#2,Brand#24,SMALL PLATED COPPER,35,JUMBO BAG,1489.54,s wake. expr
46544,coral purple saddle thistle lemon,Manufacturer#4,Brand#44,ECONOMY ANODIZED COPPER,27,JUMBO DRUM,1490.54,ounts a
46545,bisque burnished aquamarine tan dodger,Manufacturer#4,Brand#43,PROMO ANODIZED STEEL,13,JUMBO BOX,1491.54," use above"
46546,firebrick red honeydew lavender rosy,Manufacturer#4,Brand#44,MEDIUM BURNISHED STEEL,32,MED CASE,1492.54,carefully
46547,sandy seashell pale wheat puff,Manufacturer#3,Brand#35,MEDIUM POLISHED COPPER,26,SM PKG,1493.54,ously final acco
46548,firebrick floral cyan metallic cornsilk,Manufacturer#1,Brand#13,PROMO POLISHED TIN,43,WRAP PKG,1494.54,egular
46549,turquoise misty midnight smoke lace,Manufacturer#1,Brand#14,LARGE ANODIZED COPPER,41,JUMBO BAG,1495.54,inal accounts. fu
46550,beige cornflower dodger indian rosy,Manufacturer#2,Brand#25,SMALL POLISHED STEEL,1,WRAP PKG,1496.55," the express acco"
46551,floral navy violet gainsboro medium,Manufacturer#2,Brand#24,STANDARD ANODIZED TIN,21,JUMBO DRUM,1497.55,ully even 
46552,linen cyan peru cream metallic,Manufacturer#2,Brand#24,MEDIUM ANODIZED STEEL,39,MED JAR,1498.55,its wak
46553,honeydew mint yellow gainsboro peach,Manufacturer#4,Brand#42,SMALL ANODIZED TIN,43,LG JAR,1499.55,en packa
46554,white linen dark tomato chartreuse,Manufacturer#4,Brand#43,STANDARD PLATED TIN,17,WRAP CASE,1500.55,sts mainta
46555,royal navy cyan green lawn,Manufacturer#5,Brand#54,ECONOMY BURNISHED BRASS,16,JUMBO BOX,1501.55,ular requests us
46556,navajo burlywood violet steel puff,Manufacturer#4,Brand#42,ECONOMY BURNISHED STEEL,28,JUMBO JAR,1502.55,nst th
46557,lavender lace puff blush ivory,Manufacturer#4,Brand#44,MEDIUM POLISHED COPPER,31,MED CAN,1503.55,ole sly
46558,yellow burnished navy red blanched,Manufacturer#4,Brand#42,LARGE BURNISHED NICKEL,32,WRAP JAR,1504.55," excuses. regular req"
46559,lavender coral rosy mint papaya,Manufacturer#5,Brand#52,STANDARD BRUSHED TIN,6,MED PACK,1505.55,the ca
46560,mint gainsboro cream sky goldenrod,Manufacturer#5,Brand#52,SMALL POLISHED BRASS,16,LG CAN,1506.56,ss accounts cajole
46561,peach metallic wheat midnight medium,Manufacturer#3,Brand#31,STANDARD ANODIZED NICKEL,43,SM BOX,1507.56,riously carefu
46562,lavender snow cyan rose lemon,Manufacturer#3,Brand#31,PROMO BURNISHED TIN,25,WRAP PACK,1508.56,out the fluffily ironi
46563,peru goldenrod blush lace sky,Manufacturer#4,Brand#43,STANDARD PLATED BRASS,10,SM DRUM,1509.56,lyly ironic excuses. 
46564,forest frosted olive ivory misty,Manufacturer#5,Brand#55,ECONOMY POLISHED BRASS,11,WRAP BAG,1510.56,regular as
46565,peru steel sandy slate peach,Manufacturer#1,Brand#14,LARGE BURNISHED STEEL,6,JUMBO BAG,1511.56,arefully above the eve
46566,pink burlywood magenta cyan beige,Manufacturer#2,Brand#23,SMALL PLATED TIN,48,LG PACK,1512.56,the pen
46567,orchid sienna beige wheat dark,Manufacturer#5,Brand#55,SMALL ANODIZED BRASS,34,SM CASE,1513.56,de of 
46568,peru aquamarine wheat thistle white,Manufacturer#5,Brand#53,LARGE POLISHED STEEL,8,WRAP CASE,1514.56,ly quick a
46569,wheat royal chocolate lime ivory,Manufacturer#1,Brand#13,SMALL BURNISHED NICKEL,34,SM BAG,1515.56,oxes a
46570,dim blanched sky royal yellow,Manufacturer#1,Brand#11,ECONOMY BURNISHED COPPER,49,MED BOX,1516.57,iously expr
46571,rosy papaya lace lavender puff,Manufacturer#3,Brand#31,ECONOMY BRUSHED NICKEL,28,SM CASE,1517.57,ic packages. slyly unu
46572,drab moccasin orchid chiffon yellow,Manufacturer#3,Brand#35,STANDARD BRUSHED NICKEL,23,WRAP JAR,1518.57,nts caj
46573,almond chartreuse lemon cyan light,Manufacturer#1,Brand#15,MEDIUM ANODIZED NICKEL,3,JUMBO CAN,1519.57,gular somas use fur
46574,lawn smoke burlywood moccasin mint,Manufacturer#1,Brand#11,ECONOMY POLISHED STEEL,43,MED BAG,1520.57,y ironic requests 
46575,royal tan lavender peach purple,Manufacturer#4,Brand#41,STANDARD BURNISHED STEEL,13,MED BAG,1521.57," packages. "
46576,almond lace floral cornflower ghost,Manufacturer#2,Brand#25,LARGE PLATED NICKEL,16,MED CAN,1522.57,lly final 
46577,papaya frosted dark orchid smoke,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,41,JUMBO CASE,1523.57," carefully bold pack"
46578,khaki royal snow papaya dim,Manufacturer#4,Brand#44,LARGE POLISHED BRASS,48,JUMBO PACK,1524.57,ly ironic id
46579,ghost magenta hot dim blue,Manufacturer#2,Brand#21,PROMO PLATED BRASS,47,MED DRUM,1525.57," blithely. caref"
46580,wheat drab burlywood lace papaya,Manufacturer#5,Brand#54,PROMO ANODIZED STEEL,8,SM DRUM,1526.58,ove the q
46581,pink firebrick light bisque gainsboro,Manufacturer#5,Brand#55,LARGE ANODIZED TIN,31,JUMBO PKG,1527.58,xes. blithely bold dep
46582,burnished peach blue firebrick lace,Manufacturer#2,Brand#22,MEDIUM BURNISHED STEEL,39,SM PACK,1528.58,regular requests na
46583,saddle bisque drab pink cornflower,Manufacturer#5,Brand#51,MEDIUM PLATED STEEL,38,MED JAR,1529.58,kly at
46584,cream lawn ivory violet goldenrod,Manufacturer#4,Brand#42,LARGE ANODIZED NICKEL,34,SM DRUM,1530.58,mptotes wake fur
46585,goldenrod sky violet pink firebrick,Manufacturer#2,Brand#24,STANDARD ANODIZED TIN,41,WRAP DRUM,1531.58,s. slyly pending pac
46586,saddle plum bisque light lawn,Manufacturer#3,Brand#31,LARGE POLISHED NICKEL,5,LG CASE,1532.58,structions.
46587,midnight ghost beige lemon powder,Manufacturer#2,Brand#21,LARGE PLATED BRASS,41,LG CAN,1533.58,posits. depos
46588,black tomato peru forest rosy,Manufacturer#1,Brand#15,SMALL ANODIZED COPPER,31,LG DRUM,1534.58,ly slyly
46589,linen slate white thistle saddle,Manufacturer#3,Brand#32,SMALL ANODIZED NICKEL,42,SM DRUM,1535.58,odolites doze bl
46590,sienna aquamarine turquoise dark sandy,Manufacturer#3,Brand#33,LARGE ANODIZED TIN,21,SM BOX,1536.59," ironic dependencies "
46591,turquoise sienna khaki dim burlywood,Manufacturer#4,Brand#42,PROMO BRUSHED NICKEL,8,JUMBO BOX,1537.59,rding to the furiousl
46592,peach spring seashell navajo light,Manufacturer#3,Brand#33,MEDIUM POLISHED STEEL,28,WRAP CASE,1538.59,hall ha
46593,plum dark misty steel aquamarine,Manufacturer#3,Brand#33,MEDIUM ANODIZED TIN,2,LG BAG,1539.59,p blithely about
46594,cornflower purple plum burlywood smoke,Manufacturer#5,Brand#52,MEDIUM BRUSHED BRASS,30,MED BAG,1540.59,lar deposits are fu
46595,lace misty beige olive sky,Manufacturer#3,Brand#31,ECONOMY BRUSHED TIN,22,LG PACK,1541.59,ckly regular 
46596,khaki beige purple rosy steel,Manufacturer#1,Brand#11,MEDIUM BRUSHED NICKEL,24,SM PKG,1542.59,quiet deposits. fluf
46597,yellow dodger salmon coral brown,Manufacturer#4,Brand#42,ECONOMY BRUSHED COPPER,27,WRAP JAR,1543.59,s instru
46598,violet lime bisque beige burlywood,Manufacturer#1,Brand#13,MEDIUM POLISHED COPPER,10,WRAP CAN,1544.59,s. furiously final
46599,violet cream plum cyan peru,Manufacturer#4,Brand#43,STANDARD ANODIZED NICKEL,37,MED PKG,1545.59,t the sly
46600,royal sienna grey cornflower thistle,Manufacturer#2,Brand#21,LARGE POLISHED STEEL,11,WRAP CASE,1546.60,s cajole quickl
46601,burnished white purple brown lavender,Manufacturer#4,Brand#41,MEDIUM BRUSHED COPPER,10,MED CAN,1547.60,y enti
46602,pale smoke lemon indian moccasin,Manufacturer#2,Brand#22,STANDARD BRUSHED COPPER,41,JUMBO PKG,1548.60,about 
46603,dark navajo cream seashell orange,Manufacturer#5,Brand#53,SMALL ANODIZED COPPER,7,JUMBO DRUM,1549.60,haggl
46604,floral metallic coral burnished pale,Manufacturer#5,Brand#54,STANDARD BRUSHED BRASS,36,LG CASE,1550.60,tect slyly aft
46605,steel salmon cornsilk gainsboro pink,Manufacturer#3,Brand#33,MEDIUM BURNISHED BRASS,44,LG PKG,1551.60,ray blit
46606,peach mint wheat misty almond,Manufacturer#1,Brand#14,SMALL BURNISHED BRASS,29,WRAP BAG,1552.60,tes. even dependencie
46607,dodger green lavender grey rosy,Manufacturer#1,Brand#11,STANDARD PLATED COPPER,20,SM PKG,1553.60,inal accounts about t
46608,coral brown wheat smoke black,Manufacturer#3,Brand#31,PROMO BURNISHED STEEL,4,SM DRUM,1554.60,dolit
46609,gainsboro blanched grey blue cornsilk,Manufacturer#1,Brand#13,MEDIUM BRUSHED NICKEL,34,LG JAR,1555.60," about the fur"
46610,blush almond tan green forest,Manufacturer#4,Brand#41,SMALL BURNISHED STEEL,17,WRAP PACK,1556.61," dependencies"
46611,medium metallic rosy forest lime,Manufacturer#2,Brand#25,LARGE POLISHED TIN,40,JUMBO CAN,1557.61,ses ca
46612,beige pale mint orange lemon,Manufacturer#4,Brand#41,LARGE POLISHED COPPER,5,LG BAG,1558.61,r the bl
46613,rose midnight burlywood khaki light,Manufacturer#2,Brand#25,LARGE PLATED STEEL,25,LG DRUM,1559.61," blithel"
46614,rosy chartreuse lace forest pale,Manufacturer#4,Brand#45,PROMO POLISHED TIN,35,MED JAR,1560.61,t quickly across th
46615,misty green papaya blush white,Manufacturer#4,Brand#44,STANDARD BURNISHED COPPER,38,WRAP BOX,1561.61,s. carefully re
46616,bisque salmon dark chartreuse saddle,Manufacturer#4,Brand#43,PROMO BRUSHED COPPER,44,JUMBO PKG,1562.61," ideas. carefull"
46617,forest gainsboro medium smoke antique,Manufacturer#2,Brand#23,MEDIUM PLATED BRASS,29,SM CAN,1563.61,"bout the final, ir"
46618,saddle slate hot pale maroon,Manufacturer#5,Brand#55,MEDIUM ANODIZED BRASS,32,LG CASE,1564.61,the slyly express fo
46619,turquoise lemon magenta floral lawn,Manufacturer#3,Brand#33,ECONOMY POLISHED BRASS,20,JUMBO CASE,1565.61,kages sleep amo
46620,midnight slate sienna puff green,Manufacturer#4,Brand#43,LARGE PLATED NICKEL,12,SM CASE,1566.62," was after the fox"
46621,navy peach sienna antique smoke,Manufacturer#5,Brand#54,ECONOMY POLISHED TIN,17,WRAP PACK,1567.62,e the sl
46622,goldenrod misty light pale magenta,Manufacturer#5,Brand#55,LARGE BRUSHED BRASS,17,SM CAN,1568.62,ld ideas
46623,bisque chartreuse slate indian peru,Manufacturer#1,Brand#13,SMALL PLATED NICKEL,48,SM BAG,1569.62,old accounts boost fu
46624,powder burnished chartreuse lace rosy,Manufacturer#1,Brand#11,LARGE BURNISHED TIN,31,LG DRUM,1570.62,its hi
46625,cornflower frosted lemon drab sienna,Manufacturer#1,Brand#11,ECONOMY ANODIZED BRASS,41,MED BOX,1571.62," blith"
46626,red medium cyan spring tan,Manufacturer#3,Brand#32,MEDIUM ANODIZED BRASS,40,WRAP BAG,1572.62,otes integrate:
46627,mint metallic green slate red,Manufacturer#1,Brand#15,SMALL BURNISHED BRASS,17,SM JAR,1573.62," express, unusual r"
46628,chiffon sienna plum pink deep,Manufacturer#2,Brand#23,STANDARD ANODIZED NICKEL,33,MED DRUM,1574.62," cajole slyly pending"
46629,aquamarine ivory khaki magenta moccasin,Manufacturer#2,Brand#21,ECONOMY POLISHED COPPER,1,MED CAN,1575.62,rts wake 
46630,blanched moccasin peru metallic lace,Manufacturer#3,Brand#34,MEDIUM ANODIZED NICKEL,21,LG JAR,1576.63,al packa
46631,turquoise floral misty cream deep,Manufacturer#4,Brand#43,STANDARD PLATED COPPER,24,LG JAR,1577.63,efully final pi
46632,purple sky lime seashell yellow,Manufacturer#2,Brand#21,LARGE PLATED STEEL,6,JUMBO PACK,1578.63,fully care
46633,aquamarine maroon plum lavender floral,Manufacturer#5,Brand#55,MEDIUM ANODIZED TIN,25,JUMBO CASE,1579.63,instr
46634,aquamarine maroon pale forest purple,Manufacturer#2,Brand#22,ECONOMY ANODIZED BRASS,5,WRAP CASE,1580.63,ly. blithely pen
46635,plum peru forest navy moccasin,Manufacturer#3,Brand#33,MEDIUM BRUSHED BRASS,5,MED PKG,1581.63,ular deposits are abov
46636,seashell ivory snow azure blush,Manufacturer#1,Brand#15,SMALL POLISHED TIN,9,LG DRUM,1582.63,ymptotes are carefull
46637,maroon dodger drab tomato seashell,Manufacturer#4,Brand#43,STANDARD ANODIZED STEEL,12,MED BAG,1583.63," deposits. quickly bol"
46638,cornflower burnished blush misty salmon,Manufacturer#4,Brand#44,PROMO BURNISHED COPPER,44,SM BAG,1584.63,y even re
46639,steel grey lime honeydew navajo,Manufacturer#2,Brand#21,PROMO PLATED STEEL,40,SM PKG,1585.63,inal asymptotes. ne
46640,lemon rosy violet navy lavender,Manufacturer#4,Brand#43,STANDARD POLISHED TIN,20,WRAP BOX,1586.64,unts d
46641,forest indian burnished antique chiffon,Manufacturer#1,Brand#13,STANDARD BURNISHED STEEL,46,SM BAG,1587.64," wake against the i"
46642,cornflower ghost chartreuse snow navy,Manufacturer#5,Brand#55,SMALL BURNISHED NICKEL,19,JUMBO JAR,1588.64,final
46643,frosted orange violet goldenrod olive,Manufacturer#3,Brand#33,PROMO BURNISHED NICKEL,25,WRAP CASE,1589.64,t quickly. slyly fi
46644,almond honeydew grey sky black,Manufacturer#2,Brand#24,PROMO BURNISHED NICKEL,4,LG DRUM,1590.64,sly above the id
46645,dark puff maroon khaki powder,Manufacturer#3,Brand#31,SMALL PLATED NICKEL,48,LG CASE,1591.64,slyly against t
46646,sky aquamarine almond sandy mint,Manufacturer#3,Brand#32,PROMO BRUSHED NICKEL,30,JUMBO DRUM,1592.64,uriously pending a
46647,deep hot mint navajo cyan,Manufacturer#4,Brand#41,STANDARD PLATED COPPER,29,WRAP JAR,1593.64,"ular, special i"
46648,royal purple almond hot tomato,Manufacturer#3,Brand#34,SMALL PLATED COPPER,27,SM CASE,1594.64,"pending,"
46649,chocolate medium grey seashell saddle,Manufacturer#2,Brand#24,LARGE BURNISHED STEEL,35,SM DRUM,1595.64,ts lose slyly 
46650,tan almond blush ivory hot,Manufacturer#5,Brand#51,STANDARD BURNISHED NICKEL,8,JUMBO BAG,1596.65,lar accounts. special
46651,orchid steel medium coral cyan,Manufacturer#4,Brand#44,PROMO BRUSHED TIN,13,LG PACK,1597.65,nooze fur
46652,grey antique chartreuse magenta cyan,Manufacturer#1,Brand#11,STANDARD ANODIZED STEEL,14,WRAP BOX,1598.65,e even ac
46653,seashell midnight cornsilk rose metallic,Manufacturer#1,Brand#11,LARGE BRUSHED COPPER,18,LG PACK,1599.65,against the blith
46654,plum chartreuse forest purple hot,Manufacturer#4,Brand#45,SMALL PLATED TIN,11,WRAP PKG,1600.65,gle. bold depo
46655,orange cornflower midnight rosy wheat,Manufacturer#4,Brand#41,SMALL POLISHED BRASS,2,LG DRUM,1601.65,accounts b
46656,metallic chocolate navy lemon light,Manufacturer#2,Brand#21,STANDARD PLATED NICKEL,35,JUMBO DRUM,1602.65," excuses. caref"
46657,burnished light papaya salmon goldenrod,Manufacturer#2,Brand#22,PROMO POLISHED STEEL,20,JUMBO BAG,1603.65,bove the slyly fi
46658,blanched olive peru papaya pink,Manufacturer#5,Brand#52,LARGE BRUSHED COPPER,45,MED CASE,1604.65,hely careful requests 
46659,tomato misty salmon sky honeydew,Manufacturer#3,Brand#34,MEDIUM POLISHED BRASS,24,MED JAR,1605.65,jole furi
46660,light dark black brown sienna,Manufacturer#5,Brand#52,STANDARD BURNISHED NICKEL,31,WRAP JAR,1606.66,nic instructio
46661,indian spring wheat steel peach,Manufacturer#3,Brand#32,MEDIUM PLATED STEEL,28,WRAP BOX,1607.66,ickly express fo
46662,rosy metallic light navajo peru,Manufacturer#1,Brand#11,PROMO POLISHED BRASS,3,MED CASE,1608.66,pecia
46663,yellow navajo papaya dark chartreuse,Manufacturer#2,Brand#22,LARGE PLATED COPPER,8,SM PACK,1609.66,usly abov
46664,violet rose olive lemon cornflower,Manufacturer#5,Brand#53,PROMO BURNISHED COPPER,14,SM JAR,1610.66,y final foxes. 
46665,blanched brown metallic tomato smoke,Manufacturer#2,Brand#25,LARGE BRUSHED NICKEL,8,MED BOX,1611.66,s. even ideas sleep
46666,lace drab burlywood smoke sandy,Manufacturer#2,Brand#23,ECONOMY BRUSHED COPPER,6,LG PKG,1612.66,luffily regular pa
46667,misty salmon sienna chartreuse moccasin,Manufacturer#3,Brand#33,PROMO BURNISHED COPPER,27,SM DRUM,1613.66,egular
46668,dim maroon burnished yellow white,Manufacturer#3,Brand#35,LARGE PLATED NICKEL,34,WRAP PKG,1614.66,e. even dependencie
46669,powder floral puff cornflower linen,Manufacturer#4,Brand#44,STANDARD ANODIZED BRASS,6,MED PACK,1615.66,he iro
46670,yellow maroon olive red lemon,Manufacturer#3,Brand#32,MEDIUM ANODIZED STEEL,25,SM BAG,1616.67,hely 
46671,rose cream snow burlywood cornsilk,Manufacturer#4,Brand#42,MEDIUM BURNISHED COPPER,12,MED PACK,1617.67,ve the sly
46672,thistle frosted snow saddle sandy,Manufacturer#2,Brand#25,SMALL BRUSHED STEEL,11,JUMBO BOX,1618.67," carefully even re"
46673,olive papaya blush indian drab,Manufacturer#2,Brand#22,PROMO BURNISHED COPPER,47,LG BOX,1619.67,nusual epitaphs g
46674,tomato grey navajo metallic black,Manufacturer#3,Brand#33,LARGE BURNISHED STEEL,10,WRAP CASE,1620.67,sits. deposits w
46675,pale goldenrod dark ivory forest,Manufacturer#3,Brand#34,SMALL BRUSHED STEEL,22,LG PACK,1621.67,e blithely ir
46676,blanched azure ivory magenta blush,Manufacturer#2,Brand#24,ECONOMY POLISHED BRASS,21,MED PKG,1622.67,pinto beans abo
46677,violet bisque dodger light olive,Manufacturer#1,Brand#14,PROMO BURNISHED NICKEL,32,LG PACK,1623.67,ccording to the furiou
46678,moccasin floral almond dodger seashell,Manufacturer#4,Brand#45,SMALL POLISHED NICKEL,13,LG CASE,1624.67,ntegrate bli
46679,plum lemon navy lime forest,Manufacturer#1,Brand#11,SMALL PLATED COPPER,43,WRAP BAG,1625.67,"equests. final, "
46680,pale floral salmon brown lace,Manufacturer#5,Brand#52,MEDIUM ANODIZED NICKEL,43,WRAP JAR,1626.68,ts. bl
46681,cornsilk lace smoke green aquamarine,Manufacturer#3,Brand#35,MEDIUM ANODIZED NICKEL,24,LG BOX,1627.68,encies cajo
46682,dodger khaki sienna steel blush,Manufacturer#5,Brand#54,ECONOMY BRUSHED TIN,34,LG DRUM,1628.68," carefully even "
46683,goldenrod plum ivory burlywood smoke,Manufacturer#1,Brand#13,MEDIUM BURNISHED NICKEL,34,JUMBO PACK,1629.68,nstructions affix care
46684,slate frosted white bisque salmon,Manufacturer#2,Brand#24,SMALL PLATED TIN,14,WRAP PKG,1630.68,"ress, final pack"
46685,coral olive blanched burlywood turquoise,Manufacturer#5,Brand#55,LARGE BURNISHED COPPER,38,WRAP BAG,1631.68," dolphins nag f"
46686,wheat tan blue khaki plum,Manufacturer#2,Brand#25,LARGE PLATED TIN,39,WRAP CASE,1632.68,into beans. slyly re
46687,lemon cornflower pink light dim,Manufacturer#3,Brand#35,LARGE BURNISHED NICKEL,16,SM CAN,1633.68,deposits are ca
46688,peach metallic pink dim lemon,Manufacturer#4,Brand#44,PROMO BRUSHED BRASS,28,MED CASE,1634.68,posits about the f
46689,dim midnight misty coral lavender,Manufacturer#2,Brand#21,STANDARD POLISHED TIN,8,JUMBO BAG,1635.68,foxes use above
46690,salmon sky burnished black goldenrod,Manufacturer#3,Brand#33,SMALL BURNISHED COPPER,36,JUMBO CAN,1636.69,efully aga
46691,orchid papaya yellow tan dim,Manufacturer#3,Brand#32,ECONOMY PLATED STEEL,31,JUMBO PACK,1637.69," dolphins na"
46692,aquamarine lace cyan orchid navy,Manufacturer#5,Brand#52,SMALL POLISHED BRASS,29,JUMBO BOX,1638.69,"unusual foxes? even,"
46693,red hot olive magenta goldenrod,Manufacturer#1,Brand#14,PROMO BURNISHED STEEL,33,LG DRUM,1639.69,s! pending excuses a
46694,deep turquoise dodger firebrick blue,Manufacturer#3,Brand#34,LARGE BURNISHED TIN,14,WRAP BAG,1640.69,"ts wake ironic, "
46695,royal mint chiffon rose snow,Manufacturer#4,Brand#41,PROMO BURNISHED NICKEL,36,JUMBO PACK,1641.69,counts. asymptotes be
46696,floral blue lawn red azure,Manufacturer#4,Brand#41,STANDARD BURNISHED COPPER,46,LG PACK,1642.69," bold accounts"
46697,thistle seashell cornsilk orchid plum,Manufacturer#1,Brand#13,ECONOMY ANODIZED NICKEL,13,LG CASE,1643.69,nal attainments. even
46698,light seashell cornsilk cyan lawn,Manufacturer#1,Brand#13,MEDIUM PLATED NICKEL,1,MED CAN,1644.69,. furiously re
46699,indian azure dim bisque medium,Manufacturer#4,Brand#42,ECONOMY POLISHED TIN,39,WRAP PACK,1645.69,e carefully iron
46700,khaki slate lemon magenta mint,Manufacturer#1,Brand#15,MEDIUM PLATED NICKEL,16,LG PACK,1646.70,olphins. slyly fin
46701,white khaki indian drab firebrick,Manufacturer#1,Brand#13,SMALL BRUSHED BRASS,44,SM BOX,1647.70," platelet"
46702,sienna lemon light mint wheat,Manufacturer#1,Brand#11,PROMO BRUSHED COPPER,49,SM PACK,1648.70,"d, pending "
46703,beige coral orchid turquoise grey,Manufacturer#5,Brand#52,ECONOMY PLATED TIN,14,WRAP PKG,1649.70,d pinto beans caj
46704,purple smoke frosted lime orchid,Manufacturer#2,Brand#21,SMALL ANODIZED STEEL,1,WRAP BOX,1650.70,special package
46705,lawn puff rosy navy chartreuse,Manufacturer#3,Brand#32,ECONOMY POLISHED COPPER,18,WRAP PACK,1651.70,ove the 
46706,frosted aquamarine tan slate grey,Manufacturer#1,Brand#12,SMALL ANODIZED BRASS,9,JUMBO CASE,1652.70,ent dol
46707,rosy lemon cyan tomato cornsilk,Manufacturer#4,Brand#44,SMALL PLATED BRASS,31,LG PACK,1653.70," requests"
46708,snow gainsboro lawn burnished peru,Manufacturer#1,Brand#15,STANDARD POLISHED NICKEL,29,WRAP CASE,1654.70,ly slow packages. 
46709,white dim navajo firebrick violet,Manufacturer#5,Brand#53,PROMO BRUSHED COPPER,38,LG DRUM,1655.70,iously fi
46710,seashell burlywood indian gainsboro lawn,Manufacturer#2,Brand#25,MEDIUM POLISHED NICKEL,27,MED PACK,1656.71,ly. sly
46711,slate light blue bisque navy,Manufacturer#2,Brand#22,MEDIUM BURNISHED BRASS,8,WRAP DRUM,1657.71,deposits us
46712,metallic burnished slate lime coral,Manufacturer#5,Brand#55,STANDARD BURNISHED COPPER,49,WRAP JAR,1658.71,about the care
46713,light ghost aquamarine smoke chiffon,Manufacturer#1,Brand#12,PROMO BURNISHED NICKEL,6,WRAP CAN,1659.71,lyly. final foxe
46714,rosy beige dim sienna seashell,Manufacturer#3,Brand#35,MEDIUM BURNISHED TIN,2,LG CAN,1660.71,ly regular acco
46715,chiffon navajo gainsboro coral wheat,Manufacturer#4,Brand#41,PROMO ANODIZED BRASS,12,WRAP CASE,1661.71,en plate
46716,drab ivory beige khaki honeydew,Manufacturer#3,Brand#34,ECONOMY PLATED NICKEL,13,SM CAN,1662.71,"even, "
46717,burnished tan rose indian smoke,Manufacturer#2,Brand#24,PROMO POLISHED COPPER,6,LG DRUM,1663.71,usual tithes boost sl
46718,misty azure snow khaki forest,Manufacturer#5,Brand#51,STANDARD ANODIZED TIN,20,WRAP PKG,1664.71,n deposits are fl
46719,purple frosted midnight chartreuse medium,Manufacturer#5,Brand#51,STANDARD BURNISHED STEEL,35,MED PKG,1665.71,p quickly af
46720,black almond bisque wheat cyan,Manufacturer#5,Brand#53,PROMO BURNISHED COPPER,15,SM JAR,1666.72,ggle excuses. slyly
46721,indian goldenrod deep orange aquamarine,Manufacturer#5,Brand#51,PROMO PLATED STEEL,23,JUMBO PKG,1667.72," cajole furiously: "
46722,ivory linen ghost orchid tomato,Manufacturer#5,Brand#52,MEDIUM BRUSHED TIN,17,MED CAN,1668.72,eposits ac
46723,tan puff honeydew coral mint,Manufacturer#4,Brand#42,PROMO PLATED BRASS,13,MED BOX,1669.72,yly furious
46724,blanched turquoise chiffon peach lavender,Manufacturer#5,Brand#54,SMALL BRUSHED TIN,30,WRAP PKG,1670.72,sits h
46725,cornflower grey honeydew drab frosted,Manufacturer#5,Brand#52,SMALL ANODIZED COPPER,32,JUMBO CASE,1671.72," packages. quickly "
46726,rosy saddle turquoise sienna chocolate,Manufacturer#3,Brand#31,MEDIUM POLISHED BRASS,44,LG JAR,1672.72," are blithely agains"
46727,lavender purple navajo beige floral,Manufacturer#3,Brand#34,MEDIUM PLATED COPPER,47,LG PKG,1673.72,. furiously expre
