L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
5563131718,65777221,8277228,5,20.00,25898.80,0.09,0.05,"N","O","1996-06-03","1996-07-06","1996-06-04","COLLECT COD","TRUCK"," theodolites around the "
5563478304,171788500,1788501,1,15.00,23698.80,0.10,0.05,"N","O","1996-06-03","1996-06-28","1996-06-06","DELIVER IN PERSON","TRUCK","sits. furious"
5563513409,17475319,4975323,2,31.00,40096.64,0.09,0.01,"N","O","1996-06-03","1996-03-30","1996-06-23","TAKE BACK RETURN","FOB","long the regular instructions. special r"
5562612775,16903128,1903131,1,22.00,24866.16,0.04,0.08,"N","O","1996-06-03","1996-05-10","1996-06-25","NONE","TRUCK","ckly final platelets are sly"
5563216416,15424899,424902,7,16.00,29169.92,0.06,0.00,"N","O","1996-06-03","1996-05-06","1996-06-29","TAKE BACK RETURN","SHIP"," deposits. blithely express foxes eat ar"
5563209796,114278858,6778870,3,7.00,12817.98,0.01,0.04,"N","O","1996-06-03","1996-07-10","1996-06-12","COLLECT COD","TRUCK","regular dependencies. bol"
5563086854,99440729,6940757,1,13.00,21641.75,0.09,0.01,"N","O","1996-06-03","1996-04-30","1996-06-20","TAKE BACK RETURN","RAIL","the slyly regular pinto beans u"
5563328742,73650715,8650730,7,35.00,58171.05,0.04,0.04,"N","O","1996-06-03","1996-07-28","1996-06-08","DELIVER IN PERSON","AIR","ly special dependencies. carefully ironic "
5563520067,118099558,3099581,5,10.00,15516.50,0.05,0.03,"N","O","1996-06-03","1996-05-03","1996-06-24","NONE","MAIL","onic deposits us"
5563293093,54904216,4904217,1,43.00,52351.21,0.06,0.06,"N","O","1996-06-03","1996-05-25","1996-06-10","TAKE BACK RETURN","AIR","ending packages sublate slyly even theo"
5563291905,137177330,2177357,3,4.00,5601.92,0.08,0.04,"N","O","1996-06-03","1996-05-08","1996-06-04","COLLECT COD","TRUCK","otes should sl"
5562626309,80399108,399109,2,22.00,26467.98,0.04,0.02,"N","O","1996-06-03","1996-05-16","1996-06-11","TAKE BACK RETURN","TRUCK","sly regular fox"
5562832804,162080067,4580084,3,41.00,42597.36,0.02,0.02,"N","O","1996-06-03","1996-08-23","1996-07-02","TAKE BACK RETURN","REG AIR","ing to the bli"
5563519814,68249829,749836,3,1.00,1775.41,0.04,0.03,"N","O","1996-06-03","1996-05-08","1996-06-27","DELIVER IN PERSON","REG AIR","arefully after the quickly regular foxes."
5563550592,187869478,369497,3,33.00,47456.64,0.06,0.01,"N","O","1996-06-03","1996-05-20","1996-06-06","NONE","TRUCK"," pinto bean"
5563471169,151770339,4270355,2,1.00,1401.75,0.02,0.08,"N","O","1996-06-03","1996-05-25","1996-06-20","NONE","FOB","ep furiously alongside of the furiousl"
5563219139,70802995,8303017,3,36.00,75400.56,0.07,0.02,"N","O","1996-06-03","1996-04-21","1996-06-29","NONE","TRUCK","ly across th"
5563298754,134542366,7042380,1,21.00,29434.44,0.09,0.07,"N","O","1996-06-03","1996-06-12","1996-06-18","TAKE BACK RETURN","SHIP","ts. bold instructions cajole quickly"
5563289632,149638756,7138799,2,28.00,47243.56,0.04,0.06,"N","O","1996-06-03","1996-07-23","1996-06-17","NONE","SHIP","beans affix. regular, final deposits are ca"
5563441218,160658719,8158768,3,33.00,55099.44,0.01,0.07,"N","O","1996-06-03","1996-07-02","1996-06-07","COLLECT COD","TRUCK","eposits. final platelets along "
5563557761,40269786,2769791,3,44.00,77165.88,0.05,0.04,"N","O","1996-06-03","1996-07-20","1996-06-13","TAKE BACK RETURN","TRUCK","final accounts wake quickly furiou"
5563065383,106565357,4065388,1,35.00,49596.05,0.10,0.07,"N","O","1996-06-03","1996-05-30","1996-06-06","DELIVER IN PERSON","MAIL","ly bold requests cajole slyly along the "
5563272389,9123903,9123904,1,24.00,46234.80,0.06,0.04,"N","O","1996-06-03","1996-07-12","1996-06-11","NONE","AIR","es. blithely regular depe"
5563195233,162147577,7147610,1,3.00,4849.41,0.02,0.03,"N","O","1996-06-03","1996-07-02","1996-06-04","COLLECT COD","AIR","y express asy"
5563318214,187064870,2064907,1,21.00,38335.92,0.09,0.00,"N","O","1996-06-03","1996-03-29","1996-06-09","NONE","SHIP"," furiously ironic theodolites haggl"
5563210432,84465200,1965225,4,7.00,8126.86,0.04,0.06,"N","O","1996-06-03","1996-06-30","1996-07-01","NONE","SHIP","s. even, ironic deposits cajole"
5563310656,194177596,9177635,1,31.00,51580.59,0.07,0.01,"N","O","1996-06-03","1996-05-07","1996-06-08","DELIVER IN PERSON","REG AIR"," slyly. fl"
5563098080,137568583,5068623,1,33.00,54275.43,0.10,0.02,"N","O","1996-06-03","1996-06-25","1996-06-13","COLLECT COD","MAIL","ronic depende"
5563131652,189248800,1748819,4,28.00,48701.52,0.06,0.02,"N","O","1996-06-03","1996-06-28","1996-06-20","NONE","AIR","c dependencies detec"
5563288067,125505662,505687,5,29.00,48180.31,0.06,0.01,"N","O","1996-06-03","1996-05-23","1996-06-29","TAKE BACK RETURN","REG AIR"," special courts nag quickly regular"
5563179840,85027867,5027868,2,11.00,19696.71,0.09,0.08,"N","O","1996-06-03","1996-05-14","1996-06-12","DELIVER IN PERSON","FOB"," across the slyly daring instructions."
5563260804,73132611,3132612,5,8.00,13119.68,0.04,0.06,"N","O","1996-06-03","1996-03-29","1996-06-21","NONE","TRUCK","xes. slyly"
5563201029,195946843,3446901,2,26.00,48881.30,0.10,0.03,"N","O","1996-06-03","1996-04-28","1996-06-09","COLLECT COD","AIR","its. regula"
5563141187,147316606,4816649,2,14.00,22613.36,0.08,0.02,"N","O","1996-06-03","1996-05-06","1996-06-17","COLLECT COD","SHIP","s serve even, final acco"
5563165764,193740155,3740156,2,4.00,4741.88,0.09,0.00,"N","O","1996-06-03","1996-04-06","1996-06-25","NONE","RAIL","oss the fluffily even packa"
5563431975,61007212,3507219,2,38.00,42414.08,0.09,0.03,"N","O","1996-06-03","1996-03-26","1996-06-28","DELIVER IN PERSON","AIR",", even deposits: blithely final"
5563154214,40071497,2571502,2,32.00,46927.68,0.01,0.02,"N","O","1996-06-03","1996-05-06","1996-06-09","COLLECT COD","TRUCK","accounts sleep slyly qui"
5563152992,38942839,1442843,6,5.00,9399.45,0.08,0.05,"N","O","1996-06-03","1996-06-13","1996-06-09","DELIVER IN PERSON","SHIP","press instruc"
5563442150,10819030,3319032,2,28.00,26557.72,0.02,0.08,"N","O","1996-06-03","1996-06-08","1996-06-24","TAKE BACK RETURN","SHIP","ual packages around the carefully "
5563387329,176919661,4419713,5,14.00,23405.48,0.08,0.07,"N","O","1996-06-03","1996-05-21","1996-06-08","TAKE BACK RETURN","FOB","eep enticingly iron"
5563156034,85178243,5178244,5,24.00,31607.76,0.06,0.03,"N","O","1996-06-03","1996-06-13","1996-06-28","DELIVER IN PERSON","SHIP","arefully express theod"
5563109510,1098226,8598227,6,9.00,11017.53,0.06,0.08,"N","O","1996-06-03","1996-05-03","1996-06-11","TAKE BACK RETURN","REG AIR","idly bold asymptotes are among the asymptot"
5562777763,97400155,7400156,4,45.00,56263.05,0.03,0.00,"N","O","1996-06-03","1996-07-23","1996-06-24","TAKE BACK RETURN","TRUCK","carefully bold requests use furious"
5563193893,10713077,5713080,3,19.00,20701.26,0.09,0.00,"N","O","1996-06-03","1996-04-05","1996-06-25","COLLECT COD","TRUCK","ldly even accounts haggle carefully alon"
5563458596,82097334,9597359,5,22.00,29199.06,0.04,0.05,"N","O","1996-06-03","1996-05-05","1996-07-01","NONE","RAIL","le. carefully final realms against the fur"
5563291780,83832509,1332534,4,7.00,10061.17,0.07,0.00,"N","O","1996-06-03","1996-07-13","1996-06-25","DELIVER IN PERSON","FOB","romise quickly p"
5563149668,66766186,4266205,5,31.00,38714.35,0.02,0.08,"N","O","1996-06-03","1996-06-16","1996-06-15","COLLECT COD","AIR","old foxes use carefu"
5563061125,30483738,2983742,6,43.00,73969.03,0.05,0.00,"N","O","1996-06-03","1996-08-02","1996-06-21","NONE","AIR","ages. even packages do haggle fluffi"
5563364899,155591124,8091140,2,7.00,8451.45,0.03,0.01,"N","O","1996-06-03","1996-05-08","1996-06-12","DELIVER IN PERSON","REG AIR","e idle requests h"
5563149380,132859771,7859798,5,13.00,22413.69,0.08,0.02,"N","O","1996-06-03","1996-05-29","1996-06-08","TAKE BACK RETURN","MAIL","ole about the carefully regular theodol"
5563482375,146865615,1865644,1,21.00,33038.67,0.09,0.02,"N","O","1996-06-03","1996-05-22","1996-06-09","COLLECT COD","RAIL","eas-- carefully pendin"
5563174470,37411353,7411354,3,11.00,13887.28,0.06,0.04,"N","O","1996-06-03","1996-04-15","1996-07-03","NONE","TRUCK","pains are special requests! ideas above the"
5563533447,33157729,657739,4,17.00,30346.19,0.03,0.00,"N","O","1996-06-03","1996-04-30","1996-06-08","TAKE BACK RETURN","MAIL","s sleep sly accounts. blithely sly requests"
5563083395,111415359,8915393,4,27.00,34257.06,0.03,0.01,"N","O","1996-06-03","1996-07-14","1996-06-21","TAKE BACK RETURN","MAIL","unts affix "
5563418721,22110489,2110490,5,40.00,59935.20,0.01,0.04,"N","O","1996-06-03","1996-04-10","1996-06-26","NONE","SHIP","counts unwind around the carefully iro"
5563394656,191542231,6542270,5,41.00,51810.06,0.04,0.03,"N","O","1996-06-03","1996-03-21","1996-07-03","NONE","MAIL","ly unusual ideas detect. request"
5563374470,11345509,8845513,1,34.00,52833.96,0.06,0.04,"N","O","1996-06-03","1996-04-14","1996-07-01","TAKE BACK RETURN","REG AIR"," pending instructions"
5563493093,54048915,4048916,4,14.00,26056.94,0.04,0.01,"N","O","1996-06-03","1996-04-09","1996-07-02","TAKE BACK RETURN","REG AIR","ymptotes integrate carefully regu"
5563200036,171360073,6360108,3,17.00,19116.67,0.04,0.03,"N","O","1996-06-03","1996-08-02","1996-06-29","NONE","RAIL"," unusual requests. p"
5563411429,107722410,2722431,4,48.00,68497.44,0.09,0.00,"N","O","1996-06-03","1996-04-19","1996-06-19","TAKE BACK RETURN","RAIL","de of the spe"
5563396581,172428338,7428373,4,7.00,8803.97,0.07,0.00,"N","O","1996-06-03","1996-04-08","1996-06-28","COLLECT COD","FOB","ously. regular excuses detect carefully fi"
5563202469,179072724,9072725,3,44.00,74261.88,0.01,0.08,"N","O","1996-06-03","1996-07-27","1996-06-19","COLLECT COD","AIR"," the even requests wake bli"
5563115808,103536087,6036098,3,21.00,23476.11,0.09,0.05,"N","O","1996-06-03","1996-03-25","1996-06-25","TAKE BACK RETURN","SHIP","al dependencies detect blithely to the fur"
5563430019,37548098,7548099,3,13.00,14874.86,0.03,0.02,"N","O","1996-06-03","1996-06-22","1996-07-02","NONE","RAIL","nt packages use special courts. dolph"
5563126595,155845798,845829,2,27.00,46872.00,0.00,0.08,"N","O","1996-06-03","1996-07-09","1996-06-18","DELIVER IN PERSON","TRUCK","even instr"
5563218343,186535389,9035408,2,36.00,50942.16,0.09,0.03,"N","O","1996-06-03","1996-05-07","1996-06-06","COLLECT COD","MAIL",". slyly express warh"
5563255808,137586891,2586918,3,48.00,94608.96,0.06,0.05,"N","O","1996-06-03","1996-06-05","1996-06-23","DELIVER IN PERSON","TRUCK"," bold deposits"
5563141634,134405049,9405076,1,41.00,47040.53,0.09,0.00,"N","O","1996-06-03","1996-08-08","1996-06-28","NONE","REG AIR","atelets across "
5563370916,146527378,1527407,7,27.00,37747.35,0.10,0.02,"N","O","1996-06-03","1996-07-10","1996-06-25","DELIVER IN PERSON","TRUCK"," about the regular ideas. "
5563426753,322584,7822585,6,19.00,30524.83,0.06,0.00,"N","O","1996-06-03","1996-07-28","1996-06-29","COLLECT COD","FOB","egular asymptotes. bold requests ha"
5563111751,38430329,5930339,2,25.00,31435.00,0.09,0.04,"N","O","1996-06-03","1996-06-26","1996-06-29","DELIVER IN PERSON","AIR","ously silent"
5563185093,191157829,6157868,1,45.00,84477.15,0.00,0.06,"N","O","1996-06-03","1996-07-11","1996-06-26","TAKE BACK RETURN","AIR"," requests was quickly "
5563414369,56963118,9463124,7,1.00,1178.27,0.04,0.05,"N","O","1996-06-03","1996-07-29","1996-06-13","NONE","AIR"," was. quickly pending pains boost carefu"
5563238082,127449462,4949499,4,46.00,64634.14,0.04,0.04,"N","O","1996-06-03","1996-08-21","1996-06-12","TAKE BACK RETURN","FOB","ses. blithely bold accounts wake slyly"
5563126340,93096666,596694,2,29.00,48082.29,0.01,0.08,"N","O","1996-06-03","1996-05-30","1996-06-15","COLLECT COD","FOB","ts along the eve"
5563218599,54651614,4651615,5,1.00,1562.88,0.07,0.00,"N","O","1996-06-03","1996-04-28","1996-06-15","TAKE BACK RETURN","AIR"," quickly above the unu"
5563177926,7609295,5109296,2,45.00,54175.95,0.03,0.03,"N","O","1996-06-03","1996-04-19","1996-07-03","NONE","RAIL","ular deposits for t"
5562743586,62952145,452164,5,33.00,39402.00,0.02,0.04,"N","O","1996-06-03","1996-07-23","1996-06-15","COLLECT COD","RAIL","nding requests. d"
5562773827,2028610,2028611,3,8.00,12308.08,0.05,0.02,"N","O","1996-06-03","1996-07-11","1996-06-13","TAKE BACK RETURN","FOB","y final accounts mold carefully bli"
5563444455,190982986,5983025,3,37.00,76199.28,0.09,0.05,"N","O","1996-06-03","1996-04-18","1996-06-12","NONE","MAIL","ly along the blithely final dolphins. qui"
5563553408,186987770,6987771,2,6.00,11090.58,0.04,0.01,"N","O","1996-06-03","1996-05-01","1996-06-05","TAKE BACK RETURN","FOB","uriously. eve"
5563350721,93845571,3845572,2,47.00,71058.36,0.00,0.07,"N","O","1996-06-03","1996-06-25","1996-06-30","COLLECT COD","AIR","kly ironic pint"
5563472358,169109163,4109196,2,46.00,53530.66,0.00,0.08,"N","O","1996-06-03","1996-03-29","1996-07-03","DELIVER IN PERSON","SHIP","ronic request"
5563395813,84798515,7298524,4,47.00,75636.16,0.05,0.06,"N","O","1996-06-03","1996-05-15","1996-06-28","DELIVER IN PERSON","SHIP","accounts: "
5563491811,191869403,6869442,4,9.00,12265.29,0.01,0.08,"N","O","1996-06-03","1996-04-12","1996-06-13","TAKE BACK RETURN","REG AIR","eposits wake blit"
5563238278,77683280,5183302,1,10.00,12594.00,0.10,0.06,"N","O","1996-06-03","1996-07-12","1996-06-04","COLLECT COD","SHIP","ect according to the always silent depo"
5563147361,116444888,1444911,1,8.00,14616.48,0.00,0.08,"N","O","1996-06-03","1996-05-24","1996-06-15","COLLECT COD","RAIL","e fluffily ironic asymptotes. furiously re"
5563560032,190862470,8362528,1,38.00,54071.34,0.00,0.08,"N","O","1996-06-03","1996-03-31","1996-06-23","COLLECT COD","AIR","lites. accounts hag"
5563473472,101790357,1790358,2,47.00,67786.69,0.10,0.04,"N","O","1996-06-03","1996-04-23","1996-06-22","NONE","REG AIR","encies wake quickly furiously even packa"
5563109510,110323146,7823180,5,29.00,33745.27,0.08,0.01,"N","O","1996-06-03","1996-06-17","1996-07-01","NONE","RAIL","regular, idle packages! patterns wa"
5563890308,183265173,5765192,4,32.00,36128.32,0.01,0.00,"N","O","1996-06-03","1996-07-27","1996-06-30","DELIVER IN PERSON","TRUCK","ly permanent instructions are fluffily ev"
5563343425,108374008,3374029,5,9.00,9689.31,0.01,0.02,"N","O","1996-06-03","1996-08-03","1996-06-06","DELIVER IN PERSON","MAIL","kly accounts. slyly r"
5563384130,172664424,5164442,2,15.00,20696.85,0.06,0.01,"N","O","1996-06-03","1996-07-16","1996-06-18","TAKE BACK RETURN","AIR","ajole even, ironic foxes. carefully ironi"
5563338310,47702038,7702039,1,26.00,26978.90,0.06,0.05,"N","O","1996-06-03","1996-05-30","1996-06-23","TAKE BACK RETURN","REG AIR","ounts believe ruthl"
5563504547,39587017,2087021,1,12.00,13224.48,0.01,0.06,"N","O","1996-06-03","1996-05-04","1996-06-07","NONE","TRUCK","theodolites cajole daringly de"
5563063558,18743270,1243272,4,28.00,36745.52,0.02,0.04,"N","O","1996-06-03","1996-06-26","1996-06-12","DELIVER IN PERSON","FOB","ickly even foxes boost blith"
5562230017,193924003,1424061,6,50.00,50865.50,0.00,0.07,"N","O","1996-06-03","1996-04-14","1996-06-08","COLLECT COD","TRUCK","packages detect. ev"
5563066118,65347087,2847106,4,16.00,18093.12,0.04,0.06,"N","O","1996-06-03","1996-05-03","1996-06-12","NONE","RAIL"," beans nod carefully. finally regular "
5563367045,198990930,3990969,4,26.00,52285.74,0.07,0.07,"N","O","1996-06-03","1996-07-27","1996-06-28","TAKE BACK RETURN","REG AIR","s. slyly permanent ideas"
5563381959,54290376,4290377,3,42.00,57273.72,0.06,0.07,"N","O","1996-06-03","1996-07-11","1996-06-18","NONE","RAIL","ole carefully "
5562377539,88988561,1488570,6,7.00,11515.84,0.07,0.08,"N","O","1996-06-03","1996-07-29","1996-06-05","NONE","TRUCK","s. deposits doubt slyly platel"
5562484227,116087850,6087851,3,5.00,9160.25,0.09,0.04,"N","O","1996-06-03","1996-05-30","1996-06-16","NONE","SHIP","ges. furiously unusual packages are a"
5562308007,15060893,60896,1,48.00,88950.72,0.10,0.07,"N","O","1996-06-03","1996-07-07","1996-07-02","DELIVER IN PERSON","FOB","ongside of the special, regul"
5562095936,172607545,7607580,5,24.00,39454.08,0.01,0.07,"N","O","1996-06-03","1996-07-07","1996-07-02","COLLECT COD","RAIL","dolites nag sl"
5562407716,140707631,3207646,2,19.00,31000.40,0.07,0.08,"N","O","1996-06-03","1996-05-10","1996-06-06","DELIVER IN PERSON","SHIP","the carefully silent i"
5562156614,84723931,2223956,5,23.00,44866.10,0.06,0.00,"N","O","1996-06-03","1996-03-20","1996-06-20","COLLECT COD","SHIP","riously regular dolphins. slyly express"
5562236096,107056138,9556149,2,45.00,48995.10,0.09,0.06,"N","O","1996-06-03","1996-05-22","1996-06-28","TAKE BACK RETURN","AIR"," against the quietly final foxes integrate"
5562044290,81048616,8548641,1,7.00,10923.92,0.08,0.06,"N","O","1996-06-03","1996-06-23","1996-06-26","NONE","FOB","carefully! unusual foxes "
5562323587,194631430,9631469,3,39.00,52716.30,0.05,0.03,"N","O","1996-06-03","1996-05-23","1996-06-30","COLLECT COD","REG AIR"," beans dete"
5562518564,89180665,9180666,2,11.00,19153.31,0.06,0.04,"N","O","1996-06-03","1996-07-20","1996-06-17","TAKE BACK RETURN","FOB"," ironic pinto beans"
5562008039,88715887,8715888,1,41.00,77836.45,0.06,0.02,"N","O","1996-06-03","1996-05-07","1996-06-14","DELIVER IN PERSON","REG AIR","xes. furiously unusual depo"
5562111747,149802166,7302209,4,4.00,5042.72,0.03,0.04,"N","O","1996-06-03","1996-05-19","1996-06-27","DELIVER IN PERSON","TRUCK","pinto beans "
5562054466,45668510,5668511,3,33.00,48715.59,0.02,0.08,"N","O","1996-06-03","1996-05-08","1996-06-04","TAKE BACK RETURN","SHIP","n deposits boost slyly. final,"
5562276131,2231141,4731142,5,7.00,7504.21,0.07,0.05,"N","O","1996-06-03","1996-06-08","1996-06-18","NONE","SHIP","y fluffy dep"
5562180999,80649642,5649659,7,7.00,11113.27,0.05,0.03,"N","O","1996-06-03","1996-04-19","1996-06-14","COLLECT COD","FOB","ng to the fluffil"
5562325763,166568627,1568660,2,33.00,55680.90,0.10,0.02,"N","O","1996-06-03","1996-03-30","1996-06-28","NONE","AIR","its cajole fu"
5562405696,92531451,31479,4,30.00,44334.90,0.03,0.04,"N","O","1996-06-03","1996-06-15","1996-06-12","NONE","AIR","ake blithely about the fluffily bol"
5562409124,57761119,7761120,1,38.00,44734.74,0.00,0.03,"N","O","1996-06-03","1996-04-21","1996-07-01","DELIVER IN PERSON","MAIL","inal packages. regular accounts up the furi"
5562266530,144782399,2282442,3,14.00,20638.24,0.06,0.06,"N","O","1996-06-03","1996-04-21","1996-06-29","COLLECT COD","TRUCK","ecial pinto beans. carefu"
5562322913,128909066,1409079,5,4.00,4274.48,0.04,0.03,"N","O","1996-06-03","1996-04-04","1996-06-13","DELIVER IN PERSON","SHIP","cajole. carefully bold depo"
5562150881,13765934,3765935,4,36.00,71973.00,0.02,0.06,"N","O","1996-06-03","1996-06-19","1996-06-05","COLLECT COD","AIR","al deposits. pinto beans slee"
5562204420,84324572,9324589,2,22.00,35031.92,0.01,0.01,"N","O","1996-06-03","1996-07-17","1996-06-06","TAKE BACK RETURN","SHIP","platelets haggle blithely. reg"
5562326115,195375971,7875991,4,5.00,10186.05,0.01,0.05,"N","O","1996-06-03","1996-06-21","1996-06-27","NONE","MAIL","uests. furious"
5562490499,5117147,7617148,5,42.00,48883.38,0.05,0.08,"N","O","1996-06-03","1996-05-15","1996-06-07","DELIVER IN PERSON","RAIL"," must use carefully alongside of the b"
5562378048,137511649,11663,3,46.00,76073.42,0.02,0.01,"N","O","1996-06-03","1996-05-14","1996-06-10","NONE","RAIL"," alongside of the unusual deposits boost "
5562507266,79559900,2059908,1,32.00,62589.76,0.04,0.00,"N","O","1996-06-03","1996-08-07","1996-06-20","COLLECT COD","RAIL","s use after the final,"
5562205510,168777642,1277659,1,19.00,32512.99,0.08,0.07,"N","O","1996-06-03","1996-06-20","1996-07-02","TAKE BACK RETURN","AIR","ose platelets are furiously after "
5562040067,102528170,5028181,5,50.00,59652.50,0.01,0.01,"N","O","1996-06-03","1996-06-11","1996-06-24","DELIVER IN PERSON","MAIL","equests. ironic asymptotes"
5562279685,176000769,1000804,2,43.00,80021.71,0.08,0.07,"N","O","1996-06-03","1996-07-20","1996-06-28","TAKE BACK RETURN","REG AIR","bold requests haggle ideas. ironic foxe"
5562034246,25076219,2576226,4,4.00,4775.84,0.00,0.04,"N","O","1996-06-03","1996-05-16","1996-06-16","DELIVER IN PERSON","MAIL","arefully final deposits. q"
5562475620,147669616,169631,5,9.00,14204.07,0.03,0.02,"N","O","1996-06-03","1996-07-13","1996-07-03","COLLECT COD","REG AIR","nal deposits wake quickl"
5562410496,51748171,4248177,3,1.00,1216.59,0.00,0.03,"N","O","1996-06-03","1996-07-03","1996-06-08","NONE","TRUCK","requests are. final Tiresias nag. bli"
5562110631,106348440,3848471,3,32.00,47460.16,0.00,0.07,"N","O","1996-06-03","1996-07-27","1996-06-25","NONE","FOB","n, special packages haggle furious"
5562186533,122971477,471514,6,38.00,58608.54,0.01,0.04,"N","O","1996-06-03","1996-06-04","1996-06-12","DELIVER IN PERSON","REG AIR","os across the special dependenc"
5562298626,169298939,1798956,1,1.00,1929.47,0.06,0.02,"N","O","1996-06-03","1996-05-19","1996-06-23","NONE","MAIL","er the quickly pending "
5562057797,4162485,4162486,2,26.00,40229.28,0.09,0.00,"N","O","1996-06-03","1996-06-16","1996-06-12","TAKE BACK RETURN","SHIP","oxes use carefully across"
5562474788,146835780,1835809,1,45.00,76879.80,0.00,0.00,"N","O","1996-06-03","1996-05-04","1996-06-26","TAKE BACK RETURN","AIR","ckages use slyly about the bold a"
5562329414,31150364,3650368,1,22.00,31081.82,0.01,0.04,"N","O","1996-06-03","1996-05-30","1996-07-01","NONE","MAIL","gifts. bold accounts across the blit"
5562490885,194346678,9346717,1,19.00,32584.24,0.10,0.05,"N","O","1996-06-03","1996-06-28","1996-06-20","NONE","REG AIR","ourts. slyly "
5562369347,15851885,5851886,3,4.00,7344.36,0.07,0.06,"N","O","1996-06-03","1996-05-03","1996-06-18","TAKE BACK RETURN","AIR","ns sleep ev"
5562292389,195400975,5400976,2,40.00,82648.40,0.09,0.07,"N","O","1996-06-03","1996-04-25","1996-06-26","NONE","AIR","fully. slyly even platelet"
5562140805,11685126,1685127,1,10.00,11105.40,0.10,0.01,"N","O","1996-06-03","1996-06-02","1996-06-10","COLLECT COD","TRUCK"," the bold theodolites? furiousl"
5562289313,11152073,1152074,1,33.00,37109.16,0.04,0.02,"N","O","1996-06-03","1996-08-26","1996-06-20","DELIVER IN PERSON","FOB","ckly ironic ins"
5562094151,32245966,9745976,1,21.00,40117.35,0.00,0.04,"N","O","1996-06-03","1996-05-11","1996-07-02","TAKE BACK RETURN","FOB"," the ironic packages. quickly regular reque"
5562144930,78719341,1219349,1,37.00,50187.17,0.03,0.02,"N","O","1996-06-03","1996-07-09","1996-06-27","COLLECT COD","RAIL","ly blithe theodolites can detect furiously"
5562504802,155711844,3211890,1,39.00,72074.34,0.08,0.03,"N","O","1996-06-03","1996-05-24","1996-06-11","DELIVER IN PERSON","RAIL","thely idle dependencies wake blithely"
5562356000,152634541,5134557,3,31.00,45505.21,0.06,0.01,"N","O","1996-06-03","1996-08-06","1996-07-01","TAKE BACK RETURN","TRUCK","ag fluffily. furiously regular pinto b"
5562093793,14693669,2193673,1,25.00,41548.25,0.08,0.08,"N","O","1996-06-03","1996-07-08","1996-06-15","NONE","REG AIR","ep pending ideas. silent, un"
5562102534,13781281,8781284,3,36.00,49017.60,0.08,0.07,"N","O","1996-06-03","1996-04-11","1996-06-12","TAKE BACK RETURN","REG AIR","regular requests. silent brai"
5562125572,88970210,8970211,4,9.00,11481.93,0.06,0.01,"N","O","1996-06-03","1996-04-05","1996-06-28","DELIVER IN PERSON","SHIP","y regular warth"
5562195396,423324,5423325,3,42.00,52386.60,0.08,0.02,"N","O","1996-06-03","1996-07-26","1996-06-15","NONE","SHIP","uriously blithely regular acc"
5562042817,84228788,4228789,1,40.00,68502.80,0.08,0.00,"N","O","1996-06-03","1996-04-29","1996-06-24","TAKE BACK RETURN","RAIL"," nag after the fluffily "
5562225893,16507237,6507238,3,5.00,6217.05,0.05,0.01,"N","O","1996-06-03","1996-06-24","1996-06-11","NONE","AIR"," daringly e"
5562302723,21502349,1502350,3,28.00,37807.56,0.10,0.02,"N","O","1996-06-03","1996-05-09","1996-06-28","COLLECT COD","AIR"," furiously pending asymptotes hag"
5562210277,137645088,7645089,1,22.00,22576.40,0.07,0.04,"N","O","1996-06-03","1996-04-15","1996-07-03","COLLECT COD","SHIP","e ironic requ"
5562439812,32697211,197221,1,46.00,55502.68,0.10,0.07,"N","O","1996-06-03","1996-07-07","1996-06-30","NONE","REG AIR","fully. special foxes haggle alongsid"
5562246625,196253931,6253932,5,35.00,65629.20,0.04,0.00,"N","O","1996-06-03","1996-06-12","1996-06-23","DELIVER IN PERSON","FOB","fluffily regular pac"
5562402723,153972257,1472303,1,16.00,21144.96,0.00,0.07,"N","O","1996-06-03","1996-06-06","1996-06-05","TAKE BACK RETURN","RAIL"," finally bold packages cajole a"
5562007942,5440466,5440467,7,36.00,50622.84,0.10,0.08,"N","O","1996-06-03","1996-08-06","1996-06-24","DELIVER IN PERSON","MAIL"," finally quiet theodolites a"
5562523270,134243987,9244014,5,37.00,71197.99,0.03,0.03,"N","O","1996-06-03","1996-07-13","1996-06-28","NONE","AIR","he slyly final platelets. daringl"
5562520611,40613663,613664,2,47.00,74007.61,0.00,0.02,"N","O","1996-06-03","1996-03-26","1996-06-15","TAKE BACK RETURN","RAIL","nal, express ideas? final packages affix pe"
5562302342,96692527,6692528,5,12.00,18176.28,0.08,0.08,"N","O","1996-06-03","1996-05-01","1996-06-15","COLLECT COD","TRUCK"," requests are slyly eve"
5562244256,186236115,1236152,3,19.00,19794.20,0.03,0.02,"N","O","1996-06-03","1996-05-31","1996-06-30","COLLECT COD","REG AIR","lyly even requests. furiously regular pin"
5220596640,116026690,3526724,5,41.00,66046.49,0.02,0.05,"N","O","1996-06-03","1996-05-15","1996-06-09","TAKE BACK RETURN","MAIL"," even asymptotes; br"
5220575488,30675791,675792,5,44.00,77671.44,0.03,0.08,"N","O","1996-06-03","1996-06-27","1996-07-02","DELIVER IN PERSON","TRUCK"," ideas. car"
